t,theta
0.0,1.0091415123926328
0.05012531328320802,0.9638295400777859
0.10025062656641603,1.0028758400655402
0.15037593984962405,0.984649014138091
0.20050125313283207,0.8652184902144078
0.2506265664160401,-2.848851020626559
0.3007518796992481,0.8383568240135469
0.3508771929824561,0.7698365430899032
0.40100250626566414,0.7175480803147557
0.45112781954887216,0.6259012475087732
0.5012531328320802,0.6068422014047027
0.5513784461152882,0.5291241506430663
0.6015037593984962,0.43031030394990305
0.6516290726817042,0.3827434293968348
0.7017543859649122,0.28244912312472775
0.7518796992481203,0.16187247461315554
0.8020050125313283,
0.8521303258145363,-0.00027224609628343985
0.9022556390977443,-0.02201710848296102
0.9523809523809523,-0.1239774410727797
1.0025062656641603,-0.19872731814347583
1.0526315789473684,-0.2803054014797075
1.1027568922305764,-0.2853505307070638
1.1528822055137844,-0.3837850118567337
1.2030075187969924,-0.44367828359242745
1.2531328320802004,-0.4872787791966485
1.3032581453634084,-0.5005565347166341
1.3533834586466165,-0.539084413289191
1.4035087719298245,-0.5647532913783824
1.4536340852130325,-0.5847864608939263
1.5037593984962405,-0.5475151546669474
1.5538847117794485,-0.631542414237218
1.6040100250626566,-0.6359511128521862
1.6541353383458646,-0.6400553395210549
1.7042606516290726,-0.5862774109192285
1.7543859649122806,-0.5543423472318193
1.8045112781954886,-0.5697561077334466
1.8546365914786966,-0.564714245149209
1.9047619047619047,-0.5328737274000406
1.9548872180451127,-0.45315401532855054
2.0050125313283207,-0.4112816943476846
2.0551378446115285,-0.37506133695473065
2.1052631578947367,-0.36647747143964227
2.155388471177945,-0.2926043689861993
2.2055137844611528,-0.247553042265092
2.2556390977443606,
2.305764411027569,-0.12526254453932517
2.355889724310777,-0.09459721460140226
2.406015037593985,-0.03131955381699876
2.4561403508771926,
2.506265664160401,0.05289364812392492
2.556390977443609,0.10856911160851124
2.606516290726817,0.08909414655854886
2.6566416040100247,0.16380399625536407
2.706766917293233,0.1969505642774823
2.756892230576441,0.22635914488583123
2.807017543859649,-2.5619888523917194
2.8571428571428568,0.34874697548852907
2.907268170426065,0.301466361271003
2.9573934837092732,0.3760955600320233
3.007518796992481,0.3121530725553778
3.057644110275689,0.3641352961617873
3.107769423558897,0.38656363168149205
3.1578947368421053,0.4027690277661278
3.208020050125313,0.4061064095013516
3.258145363408521,0.40436326627389085
3.308270676691729,0.36225433840920956
3.3583959899749374,0.3475442483945505
3.408521303258145,0.37261240470810775
3.458646616541353,0.3235917936086755
3.508771929824561,0.27078002801699863
3.5588972431077694,0.25231533612777085
3.6090225563909772,0.23383505216873246
3.659147869674185,0.24958967178549885
3.7092731829573933,0.2106747319531698
3.7593984962406015,0.19763949955912485
3.8095238095238093,0.13375347730533965
3.859649122807017,0.12042275189276698
3.9097744360902253,-2.6975898115298493
3.9598997493734336,0.044206170111629195
4.010025062656641,0.036533645068730816
4.060150375939849,-0.02700114930060772
4.110275689223057,-0.04705003587151841
4.160401002506266,-0.07540827642824566
4.2105263157894735,-0.12617280159800492
4.260651629072681,-0.1003562317386962
4.31077694235589,-0.15184715787360126
4.360902255639098,-0.15815163989630082
4.4110275689223055,-0.1626821463437118
4.461152882205513,-0.1799843062565267
4.511278195488721,-0.18729920667322716
4.56140350877193,-0.2216343189321693
4.611528822055138,-0.24029614308731354
4.661654135338345,-0.2363905251672729
4.711779448621554,-0.28851634692449885
4.761904761904762,-0.2827382200134324
4.81203007518797,-0.2780245758796007
4.8621553884711775,-0.26495104650440976
4.912280701754385,-0.21750351745146937
4.962406015037594,-0.24901801824840178
5.012531328320802,-0.22358723420324536
5.0626566416040095,-0.1618394182409912
5.112781954887218,-0.19843009239499593
5.162907268170426,-0.1510727673982185
5.213032581453634,-0.18538040147098045
5.263157894736842,-0.14662076349385694
5.313283208020049,-0.1511557441915097
5.363408521303258,-0.11433762705555325
5.413533834586466,-0.05998626335928376
5.463659147869674,-0.11776328146372401
5.513784461152882,-0.03357717051519255
5.56390977443609,-0.02025575565297398
5.614035087719298,-0.02628883859854034
5.664160401002506,-0.0333995143915425
5.7142857142857135,0.0299473965976296
5.764411027568922,0.02889777169228185
5.81453634085213,0.06781524178851706
5.864661654135338,0.0764655349305585
5.9147869674185465,0.1376447483461771
5.964912280701754,0.09489755369903075
6.015037593984962,0.08248040009115942
6.06516290726817,0.1282219613216751
6.115288220551378,0.13760060434424545
6.165413533834586,0.1783957767188049
6.215538847117794,0.16773543932719204
6.265664160401002,0.156888763370313
6.315789473684211,0.1920324578892612
6.365914786967418,0.11289804804044018
6.416040100250626,0.12831368918414215
6.466165413533834,0.11722632876363884
6.516290726817042,0.1294856256342336
6.5664160401002505,0.09475293639339738
6.616541353383458,0.14878765386607146
6.666666666666666,0.1156499508580604
6.716791979949875,0.06978569146418448
6.7669172932330826,0.07415799927728739
6.81704260651629,0.10398637201120435
6.867167919799498,0.10904230812540099
6.917293233082706,0.1326045388262614
6.967418546365915,0.14853509871795173
7.017543859649122,0.061706698377984676
7.06766917293233,0.007606957742184096
7.117794486215539,-0.038663539090481355
7.167919799498747,0.021439076460270826
7.2180451127819545,-0.02265097635628364
7.268170426065162,-0.02206535659569421
7.31829573934837,-0.038878395149768485
7.368421052631579,-0.035123864823208874
7.4185463659147866,-0.00869203538024875
7.468671679197994,-0.04503945774962175
7.518796992481203,-0.06282828132750326
7.568922305764411,-0.09663628306651847
7.619047619047619,-0.12243386002621515
7.669172932330826,-0.09249882154841003
7.719298245614034,-0.08429921388553449
7.769423558897243,-0.033464538072051124
7.819548872180451,-0.0854421133548372
7.8696741854636585,-0.06174782285050829
7.919799498746867,-0.10713037376889055
7.969924812030075,-0.127682427044438
8.020050125313283,-0.12015932468915261
8.070175438596491,-0.11115958161849983
8.120300751879698,-0.022914707644309806
8.170426065162907,-0.1079960979894741
8.220551378446114,-0.05406211110226607
8.270676691729323,-0.101505847853891
8.320802005012531,-0.04107809874895499
8.370927318295738,-0.051560972946234976
8.421052631578947,-0.0614438248456848
8.471177944862156,-0.05122998886215292
8.521303258145362,-0.06261810214857268
8.571428571428571,-0.02234290737711791
8.62155388471178,-0.04198655883873365
8.671679197994987,-0.057655778502689596
8.721804511278195,-0.05179036611930272
8.771929824561402,-0.0009264522512643144
8.822055137844611,0.048459473564405664
8.87218045112782,0.012853513966762828
8.922305764411027,-3.0353944375093773
8.972431077694235,0.029646739701892428
9.022556390977442,0.06619304743918357
9.072681704260651,0.03909227226533395
9.12280701754386,0.025196290935337907
9.172932330827066,0.075206349598585
9.223057644110275,0.058825178236274506
9.273182957393484,0.09540841402221069
9.32330827067669,0.05761803334023372
9.3734335839599,0.01757407983667813
9.423558897243108,0.014848494711982053
9.473684210526315,0.10640635407710605
9.523809523809524,0.10898188509717543
9.57393483709273,0.05170152972418039
9.62406015037594,0.044847433307107734
9.674185463659148,0.09890701208962469
9.724310776942355,0.02006614272750728
9.774436090225564,0.024175416449704657
9.82456140350877,0.06761903485742826
9.87468671679198,0.03338502902638637
9.924812030075188,0.041617846322396096
9.974937343358395,0.033105584323202694
10.025062656641603,0.04410895968041019
10.075187969924812,
10.125313283208019,0.028042854252109024
10.175438596491228,0.0401112491461114
10.225563909774436,-0.045315712163111824
10.275689223057643,0.010100507730117687
10.325814536340852,-0.01833951674089737
10.375939849624059,-0.03414406878553167
10.426065162907268,-0.02835083714320417
10.476190476190476,-0.016305563529509223
10.526315789473683,0.017108438526723155
10.576441102756892,-0.054023546613413485
