,t,theta
0,3.0,0.4451726149896978
1,3.04,0.2754522184482683
2,3.08,0.20609230157427488
3,3.12,0.28449000725885504
4,3.16,0.38291330896704406
5,3.2,0.38606302321159736
6,3.24,0.3142083492979965
7,3.2800000000000002,0.2002117097700527
8,3.32,0.2658476516857389
9,3.36,-0.0249754880932703
10,3.4,0.11794245189016606
11,3.44,0.14540101625279694
12,3.48,0.1322851701418606
13,3.52,0.03164239872946414
14,3.56,0.021429141391964918
15,3.6,0.1115111522553511
16,3.64,0.06926598289612847
17,3.68,0.03143327170119626
18,3.7199999999999998,0.07245487842411497
19,3.76,-0.0820930657878193
20,3.8,-0.1493674665583003
21,3.84,-0.0873705408794825
22,3.88,-0.2742935806836929
23,3.92,0.026885514832681007
24,3.96,-0.14424071986197476
25,4.0,-0.19890517517046563
26,4.04,-0.23450725470482087
27,4.08,-0.21958292621140696
28,4.12,-0.25807613651208955
29,4.16,-0.26228367630370225
30,4.2,-0.29041617289071625
31,4.24,-0.3547355441958956
32,4.28,-0.48961364226858717
33,4.32,-0.3013753539692575
34,4.36,-0.22642174633591677
35,4.4,-0.5840691744073866
36,4.4399999999999995,-0.3882309344796397
37,4.48,-0.45373755878533045
38,4.52,-0.3566632947736141
39,4.5600000000000005,-0.49423297174251807
40,4.6,-0.555971875708358
41,4.640000000000001,-0.5012712161728687
42,4.68,-0.48400186610396556
43,4.72,-0.5684329652734773
44,4.76,-0.790463856122175
45,4.8,-0.5979580850521046
46,4.84,-0.5193991028102161
47,4.88,-0.5497616263270797
48,4.92,-0.5997954850876418
49,4.96,-0.5122941654964314
50,5.0,-0.36269356134261943
51,5.04,-0.49401447755986805
52,5.08,-0.5492818095837553
53,5.12,-0.4765108450934571
54,5.16,-0.5996854241879694
55,5.2,-0.549809090645367
56,5.24,-0.5415137282870444
57,5.28,-0.5114812981723469
58,5.32,-0.47108649654311796
59,5.359999999999999,-0.37240410176032435
60,5.4,-0.44887288028915107
61,5.4399999999999995,-0.48410094969088185
62,5.48,-0.43338403692832494
63,5.52,-0.4130201272894327
64,5.5600000000000005,-0.500522621695006
65,5.6,-0.4370490151826557
66,5.640000000000001,-0.5082904482014423
67,5.68,-0.5061923287672401
68,5.720000000000001,-0.5232397470105985
